, 13898.48, 42930.87
14740.17, 23652.53, -13696.64
7131.20, 14400.83, -46318.21
7131.20, 14400.83, -46318.21
7131.20, 14400.83, -46318.21
7131.20, 14400.83, -46318.21
7131.20, 14400.83, -46318.21
7131.20, 14400.83, -46318.21
7131.20, 14400.83, -46318.21
7131.20, 14400.83, -46318.21
7131.20, 14400.83, -46318.21
7131.20, 14400.83, -46318.21
9820.88, 2679.22, -52651.07
9820.88, 2679.22, -52651.07
16191.18, -10968.08, -47643.69
16191.18, -10968.08, -47643.69
16191.18, -10968.08, -47643.69
16191.18, -10968.08, -47643.69
16191.18, -10968.08, -47643.69
16191.18, -10968.08, -47643.69
16191.18, -10968.08, -47643.69
16191.18, -10968.08, -47643.69
18066.88, -14400.83, -44477.27
18066.88, -14400.83, -44477.27
18066.88, -14400.83, -44477.27
18066.88, -14400.83, -44477.27
18066.88, -14400.83, -44477.27
18066.88, -14400.83, -44477.27
18066.88, -14400.83, -44477.27
18066.88, -14400.83, -44477.27
18066.88, -14400.83, -44477.27
18066.88, -14400.83, -44477.27
19093.21, -15614.86, -39985.36
19093.21, -15614.86, -39985.36
19093.21, -15614.86, -39985.36
19093.21, -15614.86, -39985.36
19093.21, -15614.86, -39985.36
19093.21, -15614.86, -39985.36
19093.21, -15614.86, -39985.36
19093.21, -15614.86, -39985.36
19093.21, -15614.86, -39985.36
19093.21, -15614.86, -39985.36
22384.53, -16326.53, -26362.35
22384.53, -16326.53, -26362.35
22384.53, -16326.53, -26362.35
22384.53, -16326.53, -26362.35
22384.53, -16326.53, -26362.35
21747.50, -19759.28, -7363.78
21747.50, -19759.28, -7363.78
21747.50, -19759.28, -7363.78
21747.50, -19759.28, -7363.78
21747.50, -19759.28, -7363.78
21358.20, -17791.73, 21575.89
21358.20, -17791.73, 21575.89
21358.20, -17791.73, 21575.89
21358.20, -17791.73, 21575.89
21358.20, -17791.73, 21575.89
21358.20, -17791.73, 21575.89
21358.20, -17791.73, 21575.89
21358.20, -17791.73, 21575.89
21358.20, -17791.73, 21575.89
21358.20, -17791.73, 21575.89
16828.21, -4395.60, 47422.78
16828.21, -4395.60, 47422.78
16828.21, -4395.60, 47422.78
16828.21, -4395.60, 47422.78
16828.21, -4395.60, 47422.78
16828.21, -4395.60, 47422.78
16828.21, -4395.60, 47422.78
16828.21, -4395.60, 47422.78
16828.21, -4395.60, 47422.78
16828.21, -4395.60, 47422.78
12475.17, 17582.41, 42930.87
12475.17, 17582.41, 42930.87
12475.17, 17582.41, 42930.87
12475.17, 17582.41, 42930.87
12475.17, 17582.41, 42930.87
12475.17, 17582.41, 42930.87
12475.17, 17582.41, 42930.87
12475.17, 17582.41, 42930.87
12475.17, 17582.41, 42930.87
12475.17, 28299.31, -147.27
8157.52, 19759.28, -44035.44
8157.52, 19759.28, -44035.44
8157.52, 19759.28, -44035.44
8157.52, 19759.28, -44035.44
8157.52, 19759.28, -44035.44
8157.52, 19759.28, -44035.44
8157.52, 19759.28, -44035.44
8157.52, 19759.28, -44035.44
8157.52, 19759.28, -44035.44
8157.52, 19759.28, -34536.15
13713.84, 18545.26, -34536.15
13713.84, 18545.26, -34536.15
13713.84, 18545.26, -34536.15
13713.84, 18545.26, -34536.15
13713.84, 18545.26, -34536.15
13713.84, 18545.26, -34536.15
13713.84, 18545.26, -34536.15
13713.84, 18545.26, -34536.15
13713.84, 18545.26, -34536.15
13713.84, 16828.88, -20471.32
20933.51, 16828.88, -20471.32
20933.51, 16828.88, -20471.32
20933.51, 16828.88, -20471.32
20933.51, 16828.88, -20471.32
20933.51, 16828.88, -20471.32
20933.51, 16828.88, -20471.32
20933.51, 16828.88, -20471.32
20933.51, 16828.88, -20471.32
20933.51, 16828.88, -20471.32
24861.87, 7074.83, -22754.10
24861.87, 7074.83, -22754.10
24861.87, 7074.83, -22754.10
24861.87, 7074.83, -22754.10
24861.87, 7074.83, -22754.10
29391.86, -962.85, 1693.67
29391.86, -962.85, 1693.67
29391.86, -962.85, 1693.67
29391.86, -962.85, 1693.67
29391.86, -962.85, 1693.67
26100.54, -6572.47, 30191.52
26100.54, -6572.47, 30191.52
26100.54, -6572.47, 30191.52
26100.54, -6572.47, 30191.52
26100.54, -6572.47, 30191.52
26100.54, -6572.47, 30191.52
26100.54, -6572.47, 30191.52
26100.54, -6572.47, 30191.52
26100.54, -6572.47, 30191.52
26100.54, -6572.47, 30191.52
23835.54, 4897.96, 45581.83
23835.54, 4897.96, 45581.83
23835.54, 4897.96, 45581.83
23835.54, 4897.96, 45581.83
23835.54, 4897.96, 45581.83
23835.54, 4897.96, 45581.83
23835.54, 4897.96, 45581.83
23835.54, 4897.96, 45581.83
23835.54, 4897.96, 45581.83
23835.54, 4897.96, 45581.83
24437.18, 16117.21, 41531.75
24437.18, 16117.21, 41531.75
24437.18, 16117.21, 41531.75
24437.18, 16117.21, 41531.75
24437.18, 16117.21, 41531.75
24437.18, 16117.21, 41531.75
24437.18, 16117.21, 41531.75
24437.18, 16117.21, 41531.75
24437.18, 16117.21, 41531.75
24437.18, 16117.21, 47422.78
19305.55, 22438.51, 47422.78
16615.87, 29010.98, 41089.92
16615.87, 29010.98, 41089.92
16615.87, 29010.98, 41089.92
16615.87, 29010.98, 41089.92
16615.87, 29010.98, 41089.92
16615.87, 29010.98, 41089.92
16615.87, 29010.98, 41089.92
16615.87, 29010.98, 41089.92
16615.87, 29010.98, 41089.92
9608.54, 26331.75, 51472.86
9608.54, 26331.75, 51472.86
9608.54, 26331.75, 51472.86
9608.54, 26331.75, 51472.86
9608.54, 26331.75, 51472.86
9608.54, 26331.75, 51472.86
9608.54, 26331.75, 51472.86
9608.54, 26331.75, 51472.86
9608.54, 26331.75, 51472.86
9608.54, 26331.75, 45140.00
7131.20, 29262.16, 45140.00
7131.20, 29262.16, 45140.00
7131.20, 29262.16, 45140.00
7131.20, 29262.16, 45140.00
7131.20, 29262.16, 45140.00
7131.20, 29262.16, 45140.00
7131.20, 29262.16, 45140.00
7131.20, 29262.16, 45140.00
7131.20, 29262.16, 45140.00
-4441.52, 28550.49, 44698.18
-4441.52, 28550.49, 44698.18
-4441.52, 28550.49, 44698.18
-4441.52, 28550.49, 44698.18
-4441.52, 28550.49, 44698.18
-4441.52, 28550.49, 44698.18
-4441.52, 28550.49, 44698.18
-4441.52, 28550.49, 44698.18
-16368.13, 22187.33, 43372.70
-16368.13, 22187.33, 43372.70
-16368.13, 22187.33, 41531.75
-24224.84, 6111.98, 41531.75
-24224.84, 6111.98, 41531.75
-24224.84, 6111.98, 41531.75
-24224.84, 6111.98, 41531.75
-24224.84, 6111.98, 41531.75
-24224.84, 6111.98, 41531.75
-24224.84, 6111.98, 41531.75
-24224.84, 6111.98, 41531.75
-24224.84, 6111.98, 41531.75
-24224.84, -4395.60, 41089.92
-25038.82, -4395.60, 41089.92
-25038.82, -4395.60, 41089.92
-25038.82, -4395.60, 41089.92
-25038.82, -4395.60, 41089.92
-25038.82, -4395.60, 41089.92
-25038.82, -4395.60, 41089.92
-25038.82, -4395.60, 41089.92
-25038.82, -4395.60, 41089.92
-25038.82, -4395.60, 41089.92
-25038.82, -7074.83, 38365.32
-24826.47, -7074.83, 38365.32
-24826.47, -7074.83, 38365.32
-24826.47, -7074.83, 38365.32
-24826.47, -7074.83, 38365.32
-24826.47, -7074.83, 38365.32
-24826.47, -7074.83, 38365.32
-24826.47, -7074.83, 38365.32
-24826.47, -7074.83, 38365.32
-24826.47, -7074.83, 38365.32
-24826.47, -7326.00, 40206.27
-24826.47, -7326.00, 40206.27
-24826.47, -7326.00, 40206.27
-25463.51, -1716.38, 41973.58
-25463.51, -1716.38, 41973.58
-25463.51, -1716.38, 41973.58
-25463.51, -1716.38, 41973.58
-25463.51, -1716.38, 41973.58
-25463.51, -1716.38, 41973.58
-25463.51, -1716.38, 41973.58
-25463.51, 19717.42, 49263.73
-22561.48, 19508.10, 49263.73
-22561.48, 19508.10, 49263.73
-22561.48, 19508.10, 49263.73
-22561.48, 19508.10, 49263.73
-22561.48, 19508.10, 49263.73
-22561.48, 19508.10, 49263.73
-22561.48, 19508.10, 49263.73
-22561.48, 19508.10, 49263.73
-22561.48, 19508.10, 49263.73
2176.52, 33657.76, 56922.06
2176.52, 33657.76, 56922.06
2176.52, 33657.76, 56922.06
2176.52, 33657.76, 56922.06
2176.52, 33657.76, 56922.06
2176.52, 33657.76, 56922.06
2176.52, 33657.76, 56922.06
2176.52, 33657.76, 56922.06
2176.52, 33657.76, 56922.06
