9, -36, 4
-3, -38, 4
-5, 241, 18
-256, -1, 35
-2, -21, 247
-28, -1, 5
-31, 0, -8
-21, 26, 8
6, -8, 19
-13, -36, -5
240, 1, 4
-3, -22, 28
-4, -68, 11
8, 10, 9
-3, -21, -21
-16, -15, 20
-23, -14, -4
-8, -41, 18
-13, -18, -16
-6, -39, 20
-3, -28, 1
243, -37, 8
-12, 3, -2
-21, 29, 33
5, -39, 8
-35, -1, 31
-24, -33, 15
2, -30, 29
7, -32, 9
-20, -23, 5
-29, -22, 34
-36, -22, 3
-5, -32, 18
-33, -54, 17
-21, -43, -10
-14, 17, -243
-28, -16, 3
-27, -20, 18
48, -151, 6
32, -4446, -358
-15, 543, -949
-67, -488, 74
-4, -4, 345
-40, -39, -20
50, -111, -90
112, -20, 2062
-128, -236, 1237
1, -146, 884
-91, -230, 4
-87, -147, 687
92, -181, 621
-190, -121, 580
63, -564, -731
41, -772, 75
326, -1414, 31
1887, -770, -679
1657, -290, -422
-897, -3139, 505
-1658, -3946, 1485
713, -3520, 1000
1063, -1152, 1125
2051, 2606, -487
1827, 4508, -277
1425, 4083, 372
868, 2781, 72
-175, 1811, 755
-515, 1298, 415
223, 587, 368
-1145, 796, 831
-1623, -643, 720
-168, -353, 88
-1775, -394, 108
-1020, -910, 64
-3097, 260, 271
-1908, -84, 345
-2147, -571, 454
-4334, 258, 188
-1473, -247, 43
-5719, 160, 398
-9829, 647, 709
-4862, -779, 371
-10506, 181, 164
-10985, -1037, 260
-7550, -1668, -143
-9997, -1885, -261
-8309, -3443, -298
-11177, -2208, -221
-7154, -3007, -489
-10073, -1565, -219
-11966, -1361, -193
-10449, -1500, -175
-13991, -458, 508
-13943, 153, 236
-13326, 1546, -108
-14963, -107, 76
-18358, 760, -295
-16315, -268, -1570
-15931, 124, -1844
-13872, -802, -968
-11595, -2022, -873
-15589, -718, -1024
-14689, -1121, -1085
-15812, -1174, -277
-13326, 1359, 76
-14031, 1513, 1087
-15682, 2896, 1167
-14452, 2582, 111
-13046, 2611, -364
-15861, 135, 371
-18661, -1955, 1167
-18227, -1997, 641
-20905, -857, 1751
-15058, -735, 620
-11553, 207, 53
-17192, 345, 2128
-19485, 250, 2019
-17046, -1340, 955
-18882, -909, 364
-18601, -2349, 405
-15388, -2575, -44
-16387, -808, -16
-12743, -1073, -510
-11250, -592, -999
-8595, -1286, -568
-8412, -480, -835
-7274, -240, -862
-3346, 201, -1329
400, 782, -1987
2257, 120, -1384
2084, 267, -1145
779, -324, 70
450, -653, 309
1350, -544, 284
1374, -708, 475
202, -43, 525
1356, -291, 244
622, -157, 282
-454, 84, 363
1295, -183, -58
752, 386, 22
1144, 279, 86
243, 184, 68
-33, -30, 144
115, -374, 252
-158, -208, 334
530, -327, 39
711, -69, 164
1325, -517, 111
1937, -347, -544
5353, 64, -1039
10308, 1013, -2410
11706, 905, -1872
10053, 1570, -872
5575, -702, 19
5188, -1756, 1338
7003, -2153, 942
10647, -1683, 1885
10839, -1319, 571
15425, -2121, 103
18573, -2889, -510
18364, -1850, 330
16941, -881, -22
18271, -1306, -956
20367, -2721, -2419
18844, -1226, -2029
21263, -878, -2233
24975, -622, -3338
19885, 1182, 20
12647, 1881, -1228
10736, 3436, -1165
8846, 3542, 89
10470, 2282, 1033
15566, 1159, 116
18871, 520, -127
20945, 474, -596
21334, 2946, -367
17710, 1987, -339
16954, 2545, -855
16313, 2713, -495
19357, 1614, -910
22261, 1976, -1603
23114, 748, -2131
19630, -554, -1853
14114, -442, -758
14348, -37, -735
13648, 299, -279
15360, -771, -998
18394, -1873, -856
19851, -625, -998
14513, 426, -185
6092, 439, 528
2990, 1360, 430
9366, 965, -401
1370, 596, -104
-3106, 991, 558
-3708, -136, 380
-2038, -190, 108
760, -981, 189
-1220, 192, 157
-230, -394, -10
921, -17, -172
-718, 277, 54
345, -392, -224
1309, -321, -93
-396, 623, 251
2448, 627, -1283
54, 1092, 69
-2508, -59, 1256
-1403, -169, 993
11, -697, 804
-1731, -1034, 1667
-1317, 958, 1100
-638, 88, 1077
-2082, 806, 733
-2529, -3102, 137
-1401, -4492, 224
-1912, 1025, 523
11, 1867, -1017
-2254, 9693, 977
1277, -2, -42
-599, 466, -136
61, 458, -8
-21, 454, 2040
-62, 4501, 1553
-45, 110, -14
-41, 175, -16
-25, -15, 2
6, -254, -4
-17, -61, 13
0, -20, 238
7, -15, -4
-27, -27, 22
-229, -32, -18
-8, -6, 9
-15, -13, 19
-46, -11, -16
16, -21, 38
-27, -2, -10
7, -56, 21
-14, -22, -6
6, -12, 4
-31, -16, 51
-36, 20, 24
-19, -52, 20
-9, 254, -11
-32, 30, -25
-27, -11, 225
8, 199, 17
-253, 7, 18
-42, 14, 32
-40, -43, -233
-39, -66, -15
-18, -23, 2
-12, -21, 243
-20, -24, -7
-10, 13, 28
-42, -17, -16
-11, 10, -229
6, -22, 246
-39, -24, 5
6, -40, 12
225, -35, -1
-25, 16, 12
3, -36, -26
-14, 13, -10
-15, -20, 41
-12, -2, -7
-10, -33, 5
1, -4, 27
-20, 6, -3
-15, -17, -242
-33, -11, 41
-8, -23, 22
3, -28, 12
9, -37, -13
-13, -22, -2
-28, -34, 2
-31, -3, 252
12, -7, 11
-8, 217, 37
-248, 5, -2
8, -7, -244
-17, -5, 8
-11, 6, 18
6, -10, -3
3, -14, -5
20, -16, -4
-10, -41, 14
-256, -10, -29
-38, -21, 249
-8, -30, -4
4, -5, 22
-245, -14, 14
2, -29, 51
-43, -31, 20
232, -23, 8
-11, -9, 12
-28, -23, -15
235, -7, 9
-6, -25, -3
6, -242, -10
-21, 14, -24
-12, -22, 254
-18, 8, 2
-5, -10, -13
0, 21, -226
