-29, -7, 21
-248, -15, -1
-12, -24, -5
-25, 11, -15
-34, -251, -2
-16, -40, 28
-11, -19, 10
-16, -22, 9
-37, -2, 8
-18, 14, -6
-19, 0, 25
-248, -31, 14
-18, -32, -24
-29, -30, -14
-25, -22, -16
-50, 8, -8
-24, -20, 10
-10, -41, 9
-51, -17, 7
-14, -18, 13
-21, -14, 47
-13, -18, 29
-34, -42, 2
-42, -25, 44
2, -27, 0
-14, 9, 37
-20, 3, -27
-51, -7, 23
-3, -30, -2
-32, -31, -256
-29, 9, -13
-238, -14, 4
17, -57, -232
7, -19, -3
-20, 198, 1531
-270, 130, 13608
-346, 9, 4762
279, 1090, -608
2584, 1256, -1128
206, 1037, -528
-3835, 4612, 475
-5214, 1057, -1542
-2092, 1573, -398
7565, -815, -1492
14781, 938, -1239
12762, 1158, -4225
4205, 955, -3205
-666, -2590, -6525
-184, -4167, -4385
-7333, 738, 4429
10574, -365, -116
-4267, -10566, 2637
-8102, -8630, 1772
-7956, -3577, 3213
-2864, 1267, 3281
-2723, 1873, 3598
-1975, 1753, 1945
-1229, 454, 277
-1610, 2190, 114
-3659, -785, -831
-122, 109, -972
-3188, -64, -1325
-1307, -2493, -1533
1011, 754, -1332
-2465, 2252, -1373
1165, 3482, 298
-1738, 188, 239
1193, -243, -1245
4008, -1452, -221
-89, -948, -798
-1310, -119, -561
1852, -698, -175
-1189, 2036, 33
-432, 1413, -1128
782, -281, -178
-432, 572, -77
-43, 1407, 159
203, 1594, 1294
-571, 2529, 869
733, 6098, -220
-166, 10585, -248
-450, 16859, -874
-156, 18831, -2013
3839, 14480, -4743
2036, 15479, -3878
821, 19106, -2496
2739, 20429, -1536
3997, 19246, -2014
-724, 21913, -1522
-1918, 20405, -671
-3956, 17408, 145
-5725, 23135, 3303
30, 21549, 2465
-3962, 25276, 2733
-224, 22523, 2189
-1797, 27180, 2427
1168, 23029, -768
934, 19163, 92
-1950, 23702, -1481
1791, 17666, -2014
-1494, 23495, -10
-451, 28192, -1289
-780, 21840, 1170
-37, 21523, 532
-193, 25034, -2707
-182, 20929, 199
2109, 18662, -2794
-998, 20974, -1972
961, 18041, -1358
1395, 15785, -715
108, 15831, -1882
-696, 10427, 191
-1598, 1388, -243
-281, -2313, 476
-753, -796, 351
532, -1108, -165
-655, -1320, 571
-1202, -147, 4
240, -448, 295
-64, -177, -17
96, 246, -94
-322, 412, 210
-289, 362, -206
-222, -142, -247
-428, -297, 18
-1063, -91, -288
-1159, -2268, -264
-1507, -4126, -162
-3264, -5914, -1614
-3704, -9139, -2734
