timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
3.549,-0.067251,-0.97639,0.021218,23124.748047,-48796.8125,-7528.335938
3.6,-0.078597,-0.717574,0.012336,24395.296875,-49574.949219,-11756.320312
3.651,-0.101289,-1.000099,-0.06464,24395.296875,-49531.722656,-11873.765625
3.702,-0.113667,-0.97639,-0.094247,24658.167969,-49315.570312,-13870.3125
3.753,-0.084786,-1.038625,-0.089312,24658.167969,-49315.570312,-13987.757812
3.804,-0.128107,-0.964536,-0.164315,25183.912109,-50353.089844,-18215.742188
3.856,-0.128107,-0.93984,-0.194908,25183.912109,-50353.089844,-18333.1875
3.908,-0.103352,-0.926998,-0.227475,25972.529297,-50612.472656,-24087.945312
3.96,-0.134296,-0.99022,-0.277805,25972.529297,-50569.242188,-24205.390625
4.011,-0.148736,-0.916132,-0.388335,26498.271484,-50353.089844,-29138.039062
4.062,-0.155957,-0.894399,-0.437679,26498.271484,-50353.089844,-29255.476562
4.113,-0.12295,-0.488393,-0.389322,26498.271484,-50828.621094,-37828.890625
4.164,-0.133265,-0.836116,-0.562025,26498.271484,-50785.390625,-37946.335938
4.215,-0.177617,-0.828213,-0.572881,27243.076172,-50353.089844,-48046.519531
4.265,-0.135327,-0.842043,-0.56992,27199.263672,-50309.859375,-48163.964844
4.315,-0.109541,-0.683987,-0.609395,26235.400391,-50093.710938,-56032.710938
4.366,-0.146674,-0.799565,-0.604461,26235.400391,-50050.480469,-56150.15625
4.417,-0.13739,-0.737331,-0.591631,27243.076172,-48796.8125,-61082.804688
4.468,-0.163177,-0.697817,-0.609395,27243.076172,-48753.582031,-61200.246094
4.519,-0.187932,-0.759064,-0.671568,27768.822266,-48537.429688,-63314.238281
4.57,-0.173491,-0.71461,-0.789993,27725.009766,-48494.199219,-63431.683594
4.621,-0.163177,-0.668181,-0.686371,27024.017578,-47759.292969,-66132.898438
4.672,-0.17968,-0.658303,-0.734728,27024.017578,-47759.292969,-66250.34375
4.722,-0.187932,-0.660279,-0.715977,28557.435547,-47759.292969,-72005.09375
4.773,-0.177617,-0.638546,-0.714991,28557.435547,-47716.0625,-72122.539062
4.825,-0.194121,-0.667194,-0.707096,28820.310547,-46505.621094,-75645.859375
4.875,-0.242599,-0.581251,-0.723872,28820.310547,-46462.390625,-75763.304688
4.926,-0.219907,-0.539761,-0.686371,29871.798828,-44949.339844,-79286.625
4.976,-0.228159,-0.562481,-0.802822,29871.798828,-44949.339844,-79404.070312
5.027,-0.260134,-0.606935,-0.735715,30397.541016,-45208.722656,-79991.289062
5.078,-0.286952,-0.59508,-0.788019,30397.541016,-45208.722656,-80108.734375
5.129,-0.270449,-0.560506,-0.713017,30879.474609,-45208.722656,-82927.390625
5.18,-0.301392,-0.610886,-0.803809,30879.474609,-45208.722656,-82927.390625
5.231,-0.30655,-0.525931,-0.729794,31930.962891,-45208.722656,-80695.953125
5.282,-0.331305,-0.51704,-0.989342,31930.962891,-45165.492188,-80813.398438
5.334,-0.365343,-0.542724,-0.788019,33990.121094,-44171.199219,-83632.054688
5.385,-0.413822,-0.507162,-0.756439,33990.121094,-44127.972656,-83749.5
5.437,-0.42001,-0.442952,-0.653804,35304.484375,-43436.292969,-84336.71875
5.488,-0.417947,-0.451842,-0.738676,35304.484375,-43436.292969,-84454.15625
5.54,-0.42001,-0.44394,-0.769269,36618.84375,-43436.292969,-87977.484375
5.591,-0.475709,-0.446903,-0.764334,36618.84375,-43393.0625,-88094.921875
5.643,-0.488087,-0.439988,-0.755452,37363.648438,-41880.011719,-89386.804688
