timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,
"52.603","-0.305518","0.431295","-0.812691","30616.599609","-2713.629883","-108177.84375",
"52.654","-0.351934","0.458955","-0.910392","29608.923828","-6561.100098","-113345.382812",
"52.705","-0.294172","0.355231","-0.857101","29565.111328","-6561.100098","-113345.382812",
"52.756","-0.384941","0.421417","-0.789993","28557.435547","-8592.910156","-113345.382812",
"52.807","-0.245694","0.319668","-0.749531","28557.435547","-8592.910156","-113227.9375",
"52.858","-0.274575","0.206065","-0.862035","29608.923828","-8852.289062","-112640.71875",
"52.909","0.013203","0.235701","-1.113688","29565.111328","-8852.289062","-112640.71875",
"52.961","-0.199278","0.097402","-0.864009","27768.822266","-12699.759766","-116281.484375",
"53.012","-0.237442","0.047022","-0.99921","27725.009766","-12742.990234","-116281.484375",
"53.063","-0.123981","0.026277","-1.04658","27024.017578","-17325.369141","-118395.476562",
"53.114","-0.083755","-0.064605","-0.899536","26980.205078","-17368.599609","-118278.03125",
"53.165","-0.100258","-0.131779","-0.9173","24176.236328","-22426.509766","-116281.484375",
"53.216","-0.141516","-0.153512","-0.977499","24132.425781","-22426.509766","-116281.484375",
"53.268","-0.144611","-0.295762","-0.9173","22861.876953","-26014.599609","-116281.484375",
"53.319","-0.175554","-0.198953","-1.081121","22861.876953","-26014.599609","-116164.039062",
"53.37","-0.12295","-0.303665","-0.904471","23650.492188","-28305.789062","-112640.71875",
"53.421","-0.138422","-0.263163","-0.941972","23650.492188","-28305.789062","-112523.273438",
"53.473","-0.121919","-0.3333","-0.905457","23913.365234","-30640.208984","-111113.945312",
"53.524","-0.10851","-0.364912","-0.928156","23869.552734","-30640.208984","-110996.5",
"53.575","-0.104384","-0.433073","-0.916313","23387.621094","-32672.017578","-110409.28125",
"53.628","-0.074471","-0.401462","-0.83835","23387.621094","-32672.017578","-110291.84375",
"53.68","-0.094069","-0.502223","-0.853153","23913.365234","-33709.542969","-106063.859375",
"53.733","-0.08066","-0.500247","-0.807757","23869.552734","-33709.542969","-106063.859375",
"53.785","-0.103352","-0.518028","-0.810717","22861.876953","-35481.972656","-106063.859375",
"53.837","-0.13017","-0.574336","-0.85414","22818.064453","-35481.972656","-105946.414062",
"53.889","-0.113667","-0.638546","-0.794927","21810.388672","-37816.390625","-103127.757812",
"53.94","-0.094069","-0.568409","-0.826507","21810.388672","-37816.390625","-103010.3125",
"53.991","-0.088912","-0.654351","-0.695253","23387.621094","-39848.199219","-94554.34375",
"54.042","-0.101289","-0.625704","-0.748544","23387.621094","-39848.199219","-94554.34375",
"54.094","-0.095101","-0.74227","-0.694266","23387.621094","-41923.242188","-92322.90625",
"54.145","-0.097163","-0.765978","-0.595579","23387.621094","-41923.242188","-92322.90625",
"54.197","-0.118824","-0.752149","-0.615316","23387.621094","-43955.050781","-87977.484375",
"54.249","-0.118824","-0.748197","-0.600513","23343.808594","-43955.050781","-87977.484375",
"54.301","-0.132233","-0.774869","-0.646896","23124.748047","-43955.050781","-84336.71875",
"54.353","-0.129139","-0.768942","-0.536366","23124.748047","-43955.050781","-84336.71875",
"54.405","-0.152862","-0.827225","-0.578802","24176.236328","-46765","-79991.289062",
"54.457","-0.133265","-0.81142","-0.571894","24132.425781","-46721.769531","-79991.289062",
"54.509","-0.144611","-0.808456","-0.559064","23650.492188","-45468.101562","-77759.851562",
"54.56","-0.152862","-0.822286","-0.577815","23650.492188","-45468.101562","-77759.851562",
"54.611","-0.12295","-0.790675","-0.518603","24395.296875","-47024.382812","-77759.851562",
"54.663","-0.128107","-0.808456","-0.496891","24395.296875","-47024.382812","-77759.851562",
"54.716","-0.120887","-0.829201","-0.430771","24658.167969","-47283.761719","-74119.085938",
"54.768","-0.160083","-0.832164","-0.406099","24614.357422","-47283.761719","-74119.085938",
"54.82","-0.155957","-0.93984","-0.343926","23650.492188","-49056.191406","-66837.5625",
"54.872","-0.161114","-0.921071","-0.264976","23650.492188","-49056.191406","-66837.5625",
"54.923","-0.143579","-0.975403","-0.204776","24658.167969","-50353.089844","-58146.703125",
"54.974","-0.125013","-0.999111","-0.113984","24658.167969","-50353.089844","-58146.703125",
"55.026","-0.154925","-1.006026","-0.083391","25183.912109","-51390.609375","-47929.074219",
"55.077","-0.139453","-1.028746","0.00148","25140.101562","-51390.609375","-47929.074219",
"55.128","-0.13017","-0.959597","-0.078457","24658.167969","-51909.371094","-42056.875",
"55.179","-0.121919","-1.025783","-0.039968","24614.357422","-51866.140625","-42056.875",
"55.23","-0.11573","-1.008002","-0.037008","23650.492188","-51649.992188","-37711.449219",
"55.281","-0.067251","-0.9675","0.01727","23650.492188","-51606.761719","-37711.449219",
"55.332","-0.045591","-0.993184","0.20675","23650.492188","-51390.609375","-31134.585938",
"55.384","-0.103352","-0.896375","0.214645","23650.492188","-51390.609375","-31017.140625",
"55.435","-0.076534","-0.959597","0.267936","23650.492188","-52168.75","-17393.632812",
"55.486","-0.094069","-0.918107","0.274845","23606.681641","-52125.519531","-17393.632812",
"55.538","-0.088912","-0.992196","0.316293","22861.876953","-49834.332031","-10112.109375",
"55.59","-0.06622","-0.894399","0.31432","22818.064453","-49791.101562","-10112.109375",
"55.643","-0.072408","-0.933913","0.384388","21810.388672","-49574.949219","-2830.578125",
"55.695","-0.061062","-0.915144","0.421889","21810.388672","-49531.722656","105.523438",
"55.747","-0.237442","-0.467648","0.154446","22073.261719","-49012.960938","105.523438",
"55.799","-0.048685","-1.048503","0.69624","22073.261719","-47283.761719","8209.15625",
"55.85","-0.117793","-0.730416","0.428797","22336.132812","-47240.53125","8209.15625",
"55.901","-0.107478","-0.72844","0.612356","22336.132812","-46246.242188","17604.679688",
"55.952","-0.242599","-0.781784","0.68045","22599.005859","-46203.011719","17604.679688",
"56.004","-0.260134","-0.708683","0.877825","24658.167969","-44473.8125","24181.539062",
"56.055","-0.209593","-0.658303","0.702161","24658.167969","-44387.351562","24181.539062",
"56.106","-0.22919","-0.629655","0.753479","26498.271484","-39848.199219","32167.734375",
"56.158","-0.203404","-0.602983","0.716964","26454.458984","-39804.972656","32167.734375",
"56.21","-0.202372","-0.630643","0.865982","26235.400391","-38810.679688","40153.921875",
"56.263","-0.147705","-0.552603","0.744597","26191.587891","-38767.449219","40153.921875",
"56.314","-0.128107","-0.687938","0.72782","25972.529297","-37038.25","40153.921875",
"56.365","-0.068283","-0.454806","0.823547","25928.716797","-36995.019531","40153.921875",
"56.417","-0.078597","-0.450854","0.897562","24921.041016","-35481.972656","43794.6875",
"56.469","-0.055905","-0.36096","0.981447","24877.228516","-35438.742188","43794.6875",
"56.52","-0.024961","-0.429122","0.919274","23124.748047","-33709.542969","46730.78125",
"56.572","-0.004332","-0.33824","0.927169","23080.9375","-33666.3125","46613.34375",
"56.623","0.016297","-0.300701","1.010066","21547.517578","-31893.880859","45321.453125",
"56.674","0.036926","-0.281932","0.876838","21503.705078","-31850.650391","45321.453125",
"56.725","0.046209","-0.345155","1.020922","20802.712891","-29343.308594","48257.5625",
"56.776","0.123569","-0.16833","0.944932","20758.900391","-29300.080078","48257.5625",
"56.827","0.128726","-0.082387","0.731767","20014.097656","-28046.410156","48962.21875",
