timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739559393.988",,,,,"-70",,
"1739559393.99",,,,,,"-722",
"1739559393.998","-6954.939",,,,,,
"1739559393.999",,"-1414.391",,,,,
"1739559394.001",,,"-32430.26",,,,
"1739559394.004",,,,"76","-70",,
"1739559394.007",,,,,,"-722",
"1739559394.014","-6954.939",,,,,,
"1739559394.016",,"-1414.391","-32430.26",,,,
"1739559394.019",,,,"76",,,
"1739559394.02",,,,,"-70",,
"1739559394.021",,,,,,"-722",
"1739559394.029","-6954.939",,,,,,
"1739559394.03",,"-1414.391",,,,,
"1739559394.032",,,"-32430.26",,,,
"1739559394.033",,,,"76",,,
"1739559394.035",,,,,"-70",,
"1739559394.036",,,,,,"-722",
"1739559394.044","-6954.939",,,,,,
"1739559394.046",,"-1414.391",,,,,
"1739559394.047",,,"-32430.26",,,,
"1739559394.05",,,,"76","-70",,
"1739559394.052",,,,,,"-722",
"1739559394.059","-5946.367",,,,,,
"1739559394.06",,"-999.503",,,,,
"1739559394.062",,,"-31675.336",,,,
"1739559394.064",,,,"100",,,
"1739559394.066",,,,,"-59",,
"1739559394.067",,,,,,"-710",
"1739559394.074","-5946.367",,,,,,
"1739559394.076",,"-999.503",,,,,
"1739559394.078",,,"-31675.336",,,,
"1739559394.08",,,,"100",,,
"1739559394.081",,,,,"-59",,
"1739559394.084",,,,,,"-710",
"1739559394.091","-5946.367",,,,,,
"1739559394.092",,"-999.503",,,,,
"1739559394.094",,,"-31675.336",,,,
"1739559394.096",,,,"100",,,
"1739559394.098",,,,,"-59",,
"1739559394.099",,,,,,"-710",
"1739559394.107","-5946.367",,,,,,
"1739559394.109",,"-999.503",,,,,
"1739559394.11",,,"-31675.336",,,,
"1739559394.111",,,,"100",,,
"1739559394.113",,,,,"-59",,
"1739559394.115",,,,,,"-710",
"1739559394.122","-5946.367",,,,,,
"1739559394.124",,"-999.503",,,,,
"1739559394.126",,,"-31675.336","100",,,
"1739559394.128",,,,,"-59",,
"1739559394.13",,,,,,"-710",
"1739559394.138","-5946.367",,,,,,
"1739559394.139",,"-999.503",,,,,
"1739559394.141",,,"-31675.336",,,,
"1739559394.142",,,,"100",,,
"1739559394.144",,,,,"-59",,
"1739559394.146",,,,,,"-710",
"1739559394.152","-6954.939",,,,,,
"1739559394.154",,"-999.503",,,,,
"1739559394.156",,,"-31675.336",,,,
"1739559394.158",,,,"76",,,
"1739559394.16",,,,,"-59",,
"1739559394.161",,,,,,"-710",
"1739559394.168","-6954.939",,,,,,
"1739559394.17",,"-999.503",,,,,
"1739559394.172",,,"-31675.336",,,,
"1739559394.174",,,,"76",,,
"1739559394.175",,,,,"-59",,
"1739559394.176",,,,,,"-710",
"1739559394.185","-6954.939",,,,,,
"1739559394.187",,"-999.503",,,,,
"1739559394.189",,,"-31675.336","76",,,
"1739559394.191",,,,,"-59",,
"1739559394.194",,,,,,"-710",
"1739559394.199","-6954.939",,,,,,
"1739559394.202",,"-999.503",,,,,
"1739559394.203",,,"-31675.336",,,,
"1739559394.205",,,,"76",,,
"1739559394.206",,,,,"-59",,
"1739559394.208",,,,,,"-710",
"1739559394.215","-6954.939",,,,,,
"1739559394.218",,"-999.503","-31675.336",,,,
"1739559394.22",,,,"76",,,
"1739559394.222",,,,,"-59",,
"1739559394.223",,,,,,"-710",
"1739559394.231","-6954.939",,,,,,
"1739559394.233",,"-999.503",,,,,
"1739559394.235",,,"-31675.336",,,,
"1739559394.236",,,,"76",,,
"1739559394.238",,,,,"-59",,
"1739559394.24",,,,,,"-710",
"1739559394.246","-6954.939",,,,,,
"1739559394.248",,"-999.503",,,,,
"1739559394.25",,,"-31675.336",,,,
"1739559394.252",,,,"76",,,
"1739559394.253",,,,,"-59",,
"1739559394.255",,,,,,"-710",
"1739559394.262","-6702.796",,,,,,
"1739559394.263",,"-999.503",,,,,
"1739559394.265",,,"-31675.336",,,,
"1739559394.267",,,,"82",,,
"1739559394.269",,,,,"-59",,
"1739559394.27",,,,,,"-710",
"1739559394.278","-6702.796",,,,,,
"1739559394.28",,"-999.503",,,,,
"1739559394.282",,,"-31675.336",,,,
"1739559394.283",,,,"82",,,
"1739559394.284",,,,,"-59",,
"1739559394.286",,,,,,"-710",
"1739559394.293","-6702.796",,,,,,
"1739559394.294",,"-999.503",,,,,
"1739559394.296",,,"-31675.336",,,,
"1739559394.298",,,,"82",,,
"1739559394.299",,,,,"-59",,
"1739559394.301",,,,,,"-710",
"1739559394.308","-6702.796",,,,,,
"1739559394.309",,"-999.503",,,,,
"1739559394.311",,,"-31675.336",,,,
"1739559394.313",,,,"82",,,
"1739559394.314",,,,,"-59",,
"1739559394.316",,,,,,"-710",
"1739559394.324","-6702.796",,,,,,
"1739559394.325",,"-999.503",,,,,
"1739559394.327",,,"-31675.336",,,,
"1739559394.329",,,,"82",,,
"1739559394.33",,,,,"-59",,
"1739559394.332",,,,,,"-710",
"1739559394.339","-6702.796",,,,,,
"1739559394.341",,"-999.503",,,,,
"1739559394.342",,,"-31675.336",,,,
"1739559394.344",,,,"82",,,
"1739559394.346",,,,,"-59",,
"1739559394.347",,,,,,"-710",
"1739559394.355","-6954.939",,,,,,
"1739559394.357",,"-1225.805",,,,,
"1739559394.359",,,"-33248.0094","76",,,
"1739559394.361",,,,,"-65",,
"1739559394.363",,,,,,"-735",
"1739559394.37","-6954.939",,,,,,
"1739559394.371",,"-1225.805",,,,,
"1739559394.374",,,"-33248.0094",,,,
"1739559394.375",,,,"76",,,
"1739559394.377",,,,,"-65",,
"1739559394.378",,,,,,"-735",
"1739559394.386","-6954.939",,,,,,
"1739559394.388",,"-1225.805",,,,,
"1739559394.39",,,"-33248.0094","76",,,
"1739559394.392",,,,,"-65",,
"1739559394.394",,,,,,"-735",
"1739559394.4","-6954.939",,,,,,
"1739559394.402",,"-1225.805",,,,,
"1739559394.405",,,"-33248.0094",,,,
"1739559394.406",,,,"76",,,
"1739559394.407",,,,,"-65",,
"1739559394.409",,,,,,"-735",
"1739559394.416","-6954.939",,,,,,
"1739559394.418",,"-1225.805",,,,,
"1739559394.42",,,"-33248.0094",,,,
"1739559394.421",,,,"76",,,
"1739559394.423",,,,,"-65",,
"1739559394.425",,,,,,"-735",
"1739559394.431","-6954.939",,,,,,
"1739559394.433",,"-1225.805",,,,,
"1739559394.435",,,"-33248.0094",,,,
"1739559394.437",,,,"76",,,
"1739559394.438",,,,,"-65",,
"1739559394.44",,,,,,"-735",
"1739559394.447","-6954.939",,,,,,
"1739559394.449",,"-1452.108",,,,,
"1739559394.452",,,"-32052.796",,,,
"1739559394.453",,,,"76",,,
"1739559394.455",,,,,"-71",,
"1739559394.456",,,,,,"-716",
"1739559394.464","-6198.51",,,,,,
"1739559394.465",,"-1452.108",,,,,
"1739559394.467",,,"-32052.796",,,,
"1739559394.468",,,,"94",,,
"1739559394.47",,,,,"-71",,
"1739559394.472",,,,,,"-716",
"1739559394.479","-6198.51",,,,,,
"1739559394.48",,"-1452.108",,,,,
"1739559394.482",,,"-32052.796",,,,
"1739559394.484",,,,"94",,,
"1739559394.485",,,,,"-71",,
"1739559394.487",,,,,,"-716",
"1739559394.494","-6198.51",,,,,,
"1739559394.496",,"-1452.108",,,,,
"1739559394.497",,,"-32052.796",,,,
"1739559394.499",,,,"94",,,
"1739559394.501",,,,,"-71",,
"1739559394.502",,,,,,"-716",
"1739559394.509","-6198.51",,,,,,
"1739559394.511",,"-1452.108",,,,,
"1739559394.513",,,"-32052.796",,,,
"1739559394.515",,,,"94",,,
"1739559394.516",,,,,"-71",,
"1739559394.518",,,,,,"-716",
"1739559394.525","-6198.51",,,,,,
"1739559394.527",,"-1452.108",,,,,
"1739559394.529",,,"-32052.796",,,,
"1739559394.53",,,,"94",,,
"1739559394.531",,,,,"-71",,
"1739559394.533",,,,,,"-716",
"1739559394.54","-6198.51",,,,,,
"1739559394.542",,"-1452.108",,,,,
"1739559394.544",,,"-32052.796",,,,
"1739559394.546",,,,"94",,,
"1739559394.547",,,,,"-71",,
"1739559394.549",,,,,,"-716",
"1739559394.556","-5946.367",,,,,,
"1739559394.559",,"-773.2",,,,,
"1739559394.56",,,"-32430.26",,,,
"1739559394.562",,,,"100",,,
"1739559394.563",,,,,"-53",,
"1739559394.565",,,,,,"-722",
"1739559394.572","-5946.367",,,,,,
"1739559394.574",,"-773.2",,,,,
"1739559394.575",,,"-32430.26",,,,
"1739559394.577",,,,"100",,,
"1739559394.579",,,,,"-53",,
"1739559394.581",,,,,,"-722",
"1739559394.588","-5946.367",,,,,,
"1739559394.589",,"-773.2",,,,,
"1739559394.591",,,"-32430.26",,,,
"1739559394.593",,,,"100",,,
"1739559394.595",,,,,"-53",,
"1739559394.596",,,,,,"-722",
"1739559394.604","-5946.367",,,,,,
"1739559394.606",,"-773.2",,,,,
"1739559394.608",,,"-32430.26",,,,
"1739559394.609",,,,"100",,,
"1739559394.61",,,,,"-53",,
"1739559394.612",,,,,,"-722",
"1739559394.619","-5946.367",,,,,,
"1739559394.621",,"-773.2",,,,,
"1739559394.623",,,"-32430.26",,,,
"1739559394.624",,,,"100",,,
"1739559394.626",,,,,"-53",,
"1739559394.628",,,,,,"-722",
"1739559394.634","-5946.367",,,,,,
"1739559394.636",,"-773.2",,,,,
"1739559394.638",,,"-32430.26",,,,
"1739559394.64",,,,"100",,,
"1739559394.641",,,,,"-53",,
"1739559394.643",,,,,,"-722",
"1739559394.65","-6198.51",,,,,,
"1739559394.652",,"-1225.805",,,,,
"1739559394.653",,,"-31675.336",,,,
"1739559394.655",,,,"94",,,
"1739559394.657",,,,,"-65",,
"1739559394.658",,,,,,"-710",
"1739559394.665","-6198.51",,,,,,
"1739559394.667",,"-1225.805",,,,,
"1739559394.669",,,"-31675.336",,,,
"1739559394.671",,,,"94",,,
"1739559394.672",,,,,"-65",,
"1739559394.674",,,,,,"-710",
"1739559394.681","-6198.51",,,,,,
"1739559394.683",,"-1225.805",,,,,
"1739559394.685",,,"-31675.336",,,,
"1739559394.686",,,,"94",,,
"1739559394.688",,,,,"-65",,
"1739559394.689",,,,,,"-710",
"1739559394.697","-6198.51",,,,,,
"1739559394.699",,"-1225.805",,,,,
"1739559394.701",,,"-31675.336",,,,
"1739559394.702",,,,"94",,,
"1739559394.704",,,,,"-65",,
"1739559394.706",,,,,,"-710",
"1739559394.712","-6198.51",,,,,,
"1739559394.714",,"-1225.805",,,,,
"1739559394.716",,,"-31675.336",,,,
"1739559394.717",,,,"94",,,
"1739559394.719",,,,,"-65",,
"1739559394.721",,,,,,"-710",
"1739559394.728","-6198.51",,,,,,
"1739559394.73",,"-1225.805",,,,,
"1739559394.731",,,"-31675.336",,,,
"1739559394.734",,,,"94",,,
"1739559394.735",,,,,"-65",,
"1739559394.736",,,,,,"-710",
"1739559394.743","-6198.51",,,,,,
"1739559394.745",,"-1225.805",,,,,
"1739559394.747",,,"-31675.336",,,,
"1739559394.748",,,,"94",,,
"1739559394.75",,,,,"-65",,
"1739559394.752",,,,,,"-710",
"1739559394.758","-6450.653",,,,,,
"1739559394.76",,"-1452.108",,,,,
"1739559394.762",,,"-32430.26",,,,
"1739559394.765",,,,"88","-71",,
"1739559394.767",,,,,,"-722",
"1739559394.775","-6450.653","-1452.108",,,,,
"1739559394.777",,,"-32430.26",,,,
"1739559394.78",,,,"88",,,
"1739559394.781",,,,,"-71",,
"1739559394.782",,,,,,"-722",
"1739559394.79","-6450.653",,,,,,
"1739559394.792",,"-1452.108",,,,,
"1739559394.794",,,"-32430.26",,,,
"1739559394.795",,,,"88",,,
"1739559394.797",,,,,"-71",,
"1739559394.799",,,,,,"-722",
"1739559394.806","-6450.653",,,,,,
"1739559394.808",,"-1452.108",,,,,
"1739559394.81",,,"-32430.26",,,,
"1739559394.811",,,,"88",,,
"1739559394.812",,,,,"-71",,
"1739559394.814",,,,,,"-722",
"1739559394.822","-6450.653","-1452.108",,,,,
"1739559394.824",,,"-32430.26",,,,
"1739559394.826",,,,"88",,,
"1739559394.828",,,,,"-71",,
"1739559394.829",,,,,,"-722",
"1739559394.836","-6450.653",,,,,,
"1739559394.839",,"-1452.108",,,,,
"1739559394.84",,,"-32430.26",,,,
"1739559394.843",,,,"88","-71",,
"1739559394.845",,,,,,"-722",
"1739559394.852","-6954.939",,,,,,
"1739559394.853",,"-1225.805",,,,,
"1739559394.856",,,"-32430.26",,,,
"1739559394.857",,,,"76",,,
"1739559394.859",,,,,"-65",,
"1739559394.86",,,,,,"-722",
"1739559394.867","-6954.939",,,,,,
"1739559394.869",,"-1225.805",,,,,
"1739559394.871",,,"-32430.26",,,,
"1739559394.872",,,,"76",,,
"1739559394.875",,,,,"-65",,
"1739559394.876",,,,,,"-722",
"1739559394.884","-6954.939",,,,,,
"1739559394.886",,"-1225.805",,,,,
"1739559394.887",,,"-32430.26",,,,
"1739559394.889",,,,"76",,,
"1739559394.89",,,,,"-65",,
"1739559394.892",,,,,,"-722",
"1739559394.9","-6954.939",,,,,,
"1739559394.902",,"-1225.805",,,,,
"1739559394.904",,,"-32430.26",,,,
"1739559394.905",,,,"76",,,
"1739559394.906",,,,,"-65",,
"1739559394.908",,,,,,"-722",
"1739559394.916","-6954.939",,,,,,
"1739559394.917",,"-1225.805",,,,,
"1739559394.919",,,"-32430.26",,,,
"1739559394.92",,,,"76",,,
"1739559394.922",,,,,"-65",,
"1739559394.923",,,,,,"-722",
"1739559394.931","-6954.939",,,,,,
"1739559394.933",,"-1225.805",,,,,
"1739559394.935",,,"-32430.26",,,,
"1739559394.936",,,,"76",,,
"1739559394.938",,,,,"-65",,
"1739559394.939",,,,,,"-722",
"1739559394.947","-6954.939",,,,,,
"1739559394.948",,"-1225.805",,,,,
"1739559394.95",,,"-32430.26",,,,
"1739559394.952",,,,"76",,,
"1739559394.953",,,,,"-65",,
"1739559394.955",,,,,,"-722",
"1739559394.962","-7417.2",,,,,,
"1739559394.965",,"-999.503",,,,,
"1739559394.966",,,"-31675.336",,,,
"1739559394.968",,,,"65",,,
"1739559394.97",,,,,"-59","-710",
"1739559394.979","-7417.2",,,,,,
"1739559394.98",,"-999.503",,,,,
"1739559394.982",,,"-31675.336",,,,
"1739559394.983",,,,"65",,,
"1739559394.985",,,,,"-59",,
"1739559394.986",,,,,,"-710",
"1739559394.993","-7417.2",,,,,,
"1739559394.995",,"-999.503",,,,,
"1739559394.997",,,"-31675.336",,,,
"1739559394.998",,,,"65",,,
"1739559395",,,,,"-59",,
"1739559395.003",,,,,,"-710",
"1739559395.008","-7417.2",,,,,,
"1739559395.011",,"-999.503",,,,,
"1739559395.012",,,"-31675.336",,,,
"1739559395.014",,,,"65",,,
"1739559395.015",,,,,"-59",,
"1739559395.017",,,,,,"-710",
"1739559395.024","-7417.2",,,,,,
"1739559395.027",,"-999.503",,,,,
"1739559395.028",,,"-31675.336",,,,
"1739559395.029",,,,"65",,,
"1739559395.031",,,,,"-59",,
"1739559395.034",,,,,,"-710",
"1739559395.04","-7417.2",,,,,,
"1739559395.042",,"-999.503",,,,,
"1739559395.044",,,"-31675.336","65",,,
"1739559395.047",,,,,"-59",,
"1739559395.048",,,,,,"-710",
"1739559395.055","-7669.343",,,,,,
"1739559395.057",,"-773.2",,,,,
"1739559395.059",,,"-33248.0094",,,,
"1739559395.06",,,,"59",,,
"1739559395.061",,,,,"-53",,
"1739559395.063",,,,,,"-735",
"1739559395.07","-7669.343",,,,,,
