timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739557826.075",,,,,,"984",
"1739557826.081","-0.007",,,,,,
"1739557826.083",,"0.016",,,,,
"1739557826.084",,,"0.998",,,,
"1739557826.086",,,,"-9",,,
"1739557826.088",,,,,"-21",,
"1739557826.089",,,,,,"986",
"1739557826.096","-0.006",,,,,,
"1739557826.098",,"0.016",,,,,
"1739557826.099",,,"0.998",,,,
"1739557826.101",,,,"-10",,,
"1739557826.102",,,,,"-25",,
"1739557826.104",,,,,,"991",
"1739557826.111","-0.006",,,,,,
"1739557826.112",,"0.015",,,,,
"1739557826.113",,,"0.998",,,,
"1739557826.115",,,,"-13",,,
"1739557826.117",,,,,"-21",,
"1739557826.118",,,,,,"984",
"1739557826.125","-0.006",,,,,,
"1739557826.126",,"0.014",,,,,
"1739557826.127",,,"0.998",,,,
"1739557826.129",,,,"-10",,,
"1739557826.131",,,,,"-27",,
"1739557826.132",,,,,,"990",
"1739557826.14","-0.006",,,,,,
"1739557826.141",,"0.015",,,,,
"1739557826.143",,,"0.998",,,,
"1739557826.144",,,,"-10",,,
"1739557826.146",,,,,"-14",,
"1739557826.148",,,,,,"991",
"1739557826.154","-0.006",,,,,,
"1739557826.155",,"0.016",,,,,
"1739557826.157",,,"0.998",,,,
"1739557826.158",,,,"-10",,,
"1739557826.16",,,,,"-14",,
"1739557826.162",,,,,,"985",
"1739557826.168","-0.007",,,,,,
"1739557826.169",,"0.017",,,,,
"1739557826.171",,,"0.998",,,,
"1739557826.172",,,,"-19",,,
"1739557826.174",,,,,"-21",,
"1739557826.176",,,,,,"993",
"1739557826.182","-0.007",,,,,,
"1739557826.183",,"0.017",,,,,
"1739557826.185",,,"0.998",,,,
"1739557826.186",,,,"-17",,,
"1739557826.188",,,,,"-22",,
"1739557826.19",,,,,,"988",
"1739557826.196","-0.007",,,,,,
"1739557826.197",,"0.016",,,,,
"1739557826.199",,,"0.999",,,,
"1739557826.2",,,,"-16",,,
"1739557826.203",,,,,"-21",,
"1739557826.204",,,,,,"987",
"1739557826.211","-0.006",,,,,,
"1739557826.212",,"0.016",,,,,
"1739557826.214",,,"0.999",,,,
"1739557826.215",,,,"-9",,,
"1739557826.217",,,,,"-24",,
"1739557826.219",,,,,,"987",
"1739557826.225","-0.007",,,,,,
"1739557826.227",,"0.016",,,,,
